,0,1
0,"['FB', 2019]",0.03106608689132961
1,"['FBHS', 2018]",0.03837079079274989
2,"['FBHS', 2019]",0.035290609758694864
3,"['FCX', 2018]",0.008124849284263679
4,"['FCX', 2019]",0.01714553365627581
5,"['FDX', 2018]",0.02367274977524023
6,"['FE', 2018]",0.026320120978941847
7,"['FE', 2019]",0.02677492684993787
8,"['FFIV', 2018]",0.046849571357176725
9,"['FIS', 2018]",0.04047780396281949
10,"['FIS', 2019]",0.03528217196974729
11,"['FISV', 2018]",0.04421707817513323
12,"['FISV', 2019]",0.03841224758408091
13,"['FITB', 2018]",0.009048578471291983
14,"['FITB', 2019]",0.006767544212885101
15,"['FL', 2018]",0.028920132786565123
16,"['FL', 2019]",0.028839535853117094
17,"['FLIR', 2018]",0.041800817370754605
18,"['FLIR', 2019]",0.038012249165961264
19,"['FLR', 2018]",0.04449569787157857
20,"['FLR', 2019]",0.038024960759542134
21,"['FLS', 2018]",0.032838873801093196
22,"['FLS', 2019]",0.033019855459623326
23,"['FMC', 2018]",0.015239014308184464
24,"['FMC', 2019]",0.004968578751192927
25,"['FRT', 2018]",0.03203678366328801
26,"['FRT', 2019]",0.03264029842558561
27,"['FTI', 2018]",0.02772042281734414
28,"['FTI', 2019]",0.03225926726870046
29,"['FTV', 2018]",0.03970513256288239
30,"['FTV', 2019]",0.03496372746989754
31,"['GD', 2018]",0.029084431553061355
32,"['GD', 2019]",0.027190178701147757
33,"['GE', 2018]",0.007172232848745966
34,"['GE', 2019]",0.009594024434285513
35,"['GILD', 2018]",0.037894935395642745
36,"['GILD', 2019]",0.0368002509317687
37,"['GIS', 2018]",0.03355452274131585
38,"['GIS', 2019]",0.03429588502510427
39,"['GLW', 2018]",0.037522329632383736
40,"['GLW', 2019]",0.02499201996459766
41,"['GM', 2018]",0.0344466513201087
42,"['GM', 2019]",0.03593228773823317
43,"['GOOG', 2018]",0.03573298175543362
44,"['GOOG', 2019]",0.03526465610846449
45,"['GOOGL', 2018]",0.03573298175543362
46,"['GOOGL', 2019]",0.03526465610846449
47,"['GPC', 2018]",0.03829243589153354
48,"['GPC', 2019]",0.0363487262503195
49,"['GPN', 2018]",0.022792640540799082
50,"['GPN', 2019]",0.0255421310206198
51,"['GPS', 2018]",0.03558221710904758
52,"['GPS', 2019]",0.03656991129080925
53,"['GRMN', 2018]",0.03935506838617807
54,"['GRMN', 2019]",0.04487717195925704
55,"['GS', 2018]",0.033919162593989687
56,"['GS', 2019]",0.03363407779914214
57,"['GT', 2018]",0.02964770005054834
58,"['GT', 2019]",0.030338864326225644
59,"['GWW', 2018]",0.03231828742117491
60,"['GWW', 2019]",0.024074233181544807
61,"['HAL', 2018]",0.04131895489590875
62,"['HAL', 2019]",0.035121626124625126
63,"['HAS', 2018]",0.04310344827586207
64,"['HAS', 2019]",0.047067139531766056
65,"['HBAN', 2018]",0.02135066730364603
66,"['HBAN', 2019]",0.026213491093115188
67,"['HBI', 2018]",0.03876694919303208
68,"['HBI', 2019]",0.03463840901720526
69,"['HCA', 2018]",0.04915434019885536
70,"['HCA', 2019]",0.051985377233699705
71,"['HCP', 2018]",0.016902698811691385
72,"['HCP', 2019]",0.03014064135331929
73,"['HD', 2018]",0.022294400045585992
74,"['HD', 2019]",0.018203617082355326
75,"['HES', 2018]",0.0318375485557886
76,"['HES', 2019]",0.03177456375653328
77,"['HIG', 2018]",0.015919151317797902
78,"['HIG', 2019]",0.016365956574792513
79,"['HII', 2018]",0.04012133052285229
80,"['HII', 2019]",0.037525293403480375
81,"['HLT', 2018]",0.009673244472908245
82,"['HLT', 2019]",0.007466708526279988
83,"['HOG', 2018]",0.02987679595849504
84,"['HOG', 2019]",0.027386628229293712
85,"['HOLX', 2018]",0.037643778319972114
86,"['HON', 2018]",0.021814437488918894
87,"['HP', 2018]",0.02378276000123187
88,"['HPE', 2018]",0.028442614176599858
89,"['HPQ', 2018]",0.03814723097703737
90,"['HRB', 2018]",0.03252935730643668
91,"['HRB', 2019]",0.0325452686037418
92,"['HRL', 2018]",0.030135776575780992
93,"['HSIC', 2018]",0.04359586128696967
94,"['HSIC', 2019]",0.041446913959276764
95,"['HST', 2018]",0.029589357829697155
96,"['HST', 2019]",0.02997030480058905
97,"['HSY', 2018]",0.030453201884028735
98,"['HSY', 2019]",0.02287542158834828
99,"['HUM', 2018]",0.03456336043174123
100,"['IBM', 2018]",0.03576839426035782
101,"['IBM', 2019]",0.03405609393696336
102,"['ICE', 2018]",0.019914821046261615
103,"['ICE', 2019]",0.019908116385911178
104,"['IDXX', 2018]",0.030533814706476578
105,"['IDXX', 2019]",0.0271480402601563
106,"['IFF', 2018]",0.035181593204467926
107,"['IFF', 2019]",0.030328565906455354
108,"['ILMN', 2018]",0.026944465605241105
109,"['ILMN', 2019]",0.020100107297945608
110,"['INCY', 2018]",0.056032642216634246
111,"['INCY', 2019]",0.05071463178294574
112,"['INFO', 2018]",0.040843670311622074
113,"['INFO', 2019]",0.0417810579199502
114,"['INTC', 2018]",0.001976077472487995
115,"['INTC', 2019]",0.0014370267915682453
116,"['INTU', 2018]",0.023211345408190365
117,"['IP', 2018]",0.020135607150195193
118,"['IP', 2019]",0.020174972405052942
119,"['IPG', 2018]",0.03720364486667296
120,"['IPG', 2019]",0.03234712532179233
121,"['IPGP', 2018]",0.04347067648187559
122,"['IQV', 2018]",0.037648820921306815
123,"['IQV', 2019]",0.029817471442631752
124,"['IR', 2018]",0.02777096205750485
125,"['IR', 2019]",0.028419143170671624
126,"['IRM', 2018]",0.028857173204532623
