,Quarter,Ticker,Jaccard,std,mean,JaccardStand,Cosine,cosmean,cosstd,CosineStand
343,2014Q1.0,AIG,0.055340596112889016,0.2770621450129129,0.4918328783316248,-1.5754309640474071,0.3770052349701439,0.8180657231583188,0.28679333765830756,-1.5379035363564302
344,2015Q1.0,AIG,0.0636390339842403,0.2770621450129129,0.4918328783316248,-1.5454794242188081,0.10755495249418173,0.8180657231583188,0.28679333765830756,-2.477431227885275
540,2015Q2.0,ALB,0.14169683217173626,0.19439343005467466,0.46810984745404766,-1.6791360448267474,0.6403332108306113,0.9100310594619963,0.1038865916429412,-2.596079478267397
541,2016Q2.0,ALB,0.1509055125936823,0.19439343005467466,0.46810984745404766,-1.6317646886067558,0.8302087290654002,0.9100310594619963,0.1038865916429412,-0.768360277627991
546,2015Q3.0,ALB,0.1436289959477713,0.19439343005467466,0.46810984745404766,-1.669196594838692,0.6605022000372426,0.9100310594619963,0.1038865916429412,-2.4019351821877626
547,2018Q3.0,ALB,0.1831678151601135,0.19439343005467466,0.46810984745404766,-1.46580073315128,0.9798248176495536,0.9100310594619963,0.1038865916429412,0.6718264319175947
555,2018Q1.0,ALL,0.14637977950458664,0.1841098682688872,0.4957203356299876,-1.8974569881023382,0.976284310967586,0.9448254307856265,0.04976454465017256,0.6321544867556713
559,1999Q2.0,ALL,0.2149523019493986,0.1841098682688872,0.4957203356299876,-1.5250026319639494,0.8494816518620406,0.9448254307856265,0.04976454465017256,-1.9158977459518522
564,2018Q3.0,ALL,0.1996720305790194,0.1841098682688872,0.4957203356299876,-1.6079980276700763,0.9893072269015657,0.9448254307856265,0.04976454465017256,0.8938451346964132
1022,2015Q2.0,BIIB,0.1314793422960651,0.18617403686844666,0.4146118916203548,-1.5207950264534218,0.7957706819792629,0.8936553768071225,0.15542756176041675,-0.629776943800634
1044,2015Q3.0,BIIB,0.13104862609355367,0.18617403686844666,0.4146118916203548,-1.5231085402481288,0.7931375373839946,0.8936553768071225,0.15542756176041675,-0.6467182415051375
1082,2005Q2.0,BWA,0.024060902422760613,0.21420518683389836,0.3840574029324966,-1.6806152354699468,0.12036441132738318,0.8319808915095164,0.2277985754617194,-3.1238846807526124
1083,2006Q2.0,BWA,0.026122995771758698,0.21420518683389836,0.3840574029324966,-1.670988515503557,0.1527601000726182,0.8319808915095164,0.2277985754617194,-2.9816726907102122
