,cosine,dates,format_change,sentiment_d,date_delta
CTRL,0.9927572106878496,"['2019-02-11', '2018-02-15']",0,-0.03166965228128274,6
AWSM,0.905206682169218,"['2019-04-16', '2018-03-08']",0,-0.13042992352200786,-25
CPRT,0.10148387564188661,"['2019-09-30', '2018-10-01']",1,-0.1188889371895668,3
CRBP,0.9672172380454935,"['2019-03-12', '2018-03-12']",0,0.16168685728812068,2
CORT,0.9798078207270355,"['2019-02-26', '2018-02-28']",0,-0.02709609950452506,4
CORE,0.07732571481974994,"['2019-03-01', '2018-03-01']",1,0.9090241598444652,2
CSOD,0.9849027227452961,"['2019-02-26', '2018-02-27']",0,0.010644680383802159,3
CLDB,0.9961854840048407,"['2019-03-07', '2018-03-22']",0,-0.0758442681853753,13
CRVL,0.9928030116659367,"['2019-06-07', '2018-06-08']",0,0.038358404490016325,3
CSGP,0.9883174210641755,"['2019-02-28', '2018-02-23']",0,-0.06797692374160343,-1
COST,0.9716731125718748,"['2018-10-26', '2017-10-18']",0,-0.06851958655481026,-4
CPAH,0.9845313166208031,"['2019-07-11', '2018-07-25']",0,-0.1102067165148916,12
ICBK,0.9935764546735474,"['2019-03-14', '2018-03-15']",0,0.019112543618421837,3
COUP,0.9893912054067715,"['2019-03-27', '2018-03-28']",0,0.008065710629946987,3
CVTI,0.9804460792931063,"['2019-03-13', '2018-02-28']",0,-0.029495152435659852,-7
PMTS,0.9668547416542317,"['2019-03-06', '2018-03-13']",0,0.4215059593505585,7
CPSH,0.9714009647618916,"['2019-03-15', '2018-03-12']",0,0.052585534332329896,-1
CRAI,0.9857523111603547,"['2019-02-28', '2018-03-12']",0,-0.04115331417023181,10
CBRL,0.9902296750923612,"['2019-09-27', '2018-09-28']",0,0.017646280259910437,3
BREW,0.9881839099887658,"['2019-03-06', '2018-03-07']",0,0.11253890561812421,3
CRAY,0.9881717190064123,"['2019-02-12', '2018-02-15']",0,0.010282047948528583,5
CREX,0.962788027968744,"['2019-03-28', '2018-03-26']",0,0.12524275855054084,0
CACC,0.9939698528652027,"['2019-02-08', '2018-02-09']",0,0.04425687253056622,3
CREE,0.037561528619860125,"['2019-08-21', '2018-08-21']",1,0.6457062230197143,2
CRSP,0.9898106349757678,"['2019-02-25', '2018-03-08']",0,-0.020452780863365362,11
CRTO,0.9803642609362305,"['2019-03-01', '2018-03-01']",0,-0.003688903337155915,2
CROX,0.9842474028115881,"['2019-02-28', '2018-03-20']",0,0.2927263939984603,16
CCRN,0.9931612359307597,"['2019-03-01', '2018-03-02']",0,-0.1189627894837497,3
CRWS,0.982352620624511,"['2019-06-13', '2018-06-13']",0,0.04298770824923363,2
CSGS,0.991763936180046,"['2019-02-22', '2018-02-23']",0,-0.0033626262471452848,3
CCLP,0.9880874260601092,"['2019-03-04', '2018-03-02']",0,0.030140493517057186,2
CSPI,0.2807993244593,"['2018-12-27', '2018-01-05']",0,-0.66213685173136,9
CSWI,0.08800968587170419,"['2019-05-22', '2018-05-30']",1,-0.02007055854305163,8
CSX,0.9953131438985616,"['2019-02-06', '2018-02-07']",0,-0.061806829288956165,3
CTIC,0.9583259601260133,"['2019-03-13', '2018-03-07']",0,0.04275944445975596,-2
CTIB,0.916593789809417,"['2019-04-16', '2018-04-02']",0,-0.07085217736710749,-8
CUI,0.9806830034267393,"['2019-03-18', '2018-03-14']",0,0.17671119886264555,0
CPIX,0.08931344544623583,"['2019-03-12', '2018-03-09']",1,0.09436340608077866,1
CRIS,0.9832448402761275,"['2019-03-26', '2018-03-08']",0,-0.04687407016994721,-10
CUTR,0.8649233557702576,"['2019-03-18', '2018-03-26']",0,0.04411579918396921,8
CVBF,0.9952564625226926,"['2019-03-01', '2018-03-01']",0,0.006257861054689579,2
CVV,0.4855911976369531,"['2019-04-01', '2018-05-01']",0,-0.36322078984057643,24
CYAN,0.8783469949820354,"['2019-07-01', '2018-06-21']",0,0.3701121063351493,-4
CYBE,1.0000000000000027,"['2019-03-12', '2018-03-09']",0,0.0,1
CYCC,0.9935739083116153,"['2019-03-28', '2018-03-30']",0,0.06884310403909026,4
CYCCP,0.9935739083116153,"['2019-03-28', '2018-03-30']",0,0.06884310403909026,4
CBAY,0.9765609286866102,"['2019-02-28', '2018-03-15']",0,0.19068824720937028,13
CY,0.981836835356344,"['2019-02-27', '2018-02-26']",0,-0.02404198249354548,1
CONE,0.9803896106296072,"['2019-02-22', '2018-02-22']",0,0.14751451106537541,2
CYTK,0.9661080160419108,"['2019-03-07', '2018-03-05']",0,0.000682680660271366,0
CTMX,0.30894502878138186,"['2019-02-27', '2018-03-14']",0,-0.48201127009621575,13
CTSO,0.9876250364278951,"['2019-03-07', '2018-03-08']",0,0.07706934886401581,3
DJCO,0.9902686177217018,"['2018-12-12', '2017-12-13']",0,-0.07719920122344628,3
DAKT,0.9896915279302319,"['2019-06-07', '2018-06-08']",0,0.13050045885940983,3
DARE,0.43873184957719585,"['2019-04-01', '2018-04-30']",0,2.200945979460991,23
DZSI,0.970718020776105,"['2019-03-12', '2018-04-04']",0,0.1738419332256643,19
PLAY,0.9928622332679269,"['2019-04-02', '2018-04-03']",0,-0.14084980979396103,3
DTEA,0.9652972439834356,"['2019-05-02', '2018-04-19']",0,-0.02791565007216748,-7
DUSA,0.9699756348774292,"['2012-03-06', '2011-03-03']",0,-0.05569417180151334,0
DWSN,0.9876141073991543,"['2019-03-06', '2018-03-09']",0,0.0983424503440027,5
DCPH,0.9809072231247085,"['2019-03-14', '2018-03-28']",0,0.045214046733954176,12
DFRG,0.9628015685681001,"['2019-03-11', '2018-03-27']",0,0.1304670447853633,14
TACO,0.9614959998689975,"['2019-03-18', '2018-03-15']",0,-0.07174623767282212,1
TACOW,0.9614959998689975,"['2019-03-18', '2018-03-15']",0,-0.07174623767282212,1
DENN,0.9900847454473742,"['2019-02-25', '2018-02-26']",0,-0.013784621321070877,3
XRAY,0.08262564247690042,"['2019-03-08', '2018-03-15']",1,-0.056678309293027966,7
DERM,0.9456626896183934,"['2019-02-26', '2018-02-22']",0,0.016660471879796624,0
DEST,0.9865351245382078,"['2019-04-16', '2018-04-19']",0,0.09822561529415764,5
DXCM,0.9777789729179811,"['2019-02-21', '2018-02-27']",0,0.17413215270353546,6
DHIL,0.9959016046817886,"['2019-02-21', '2018-02-22']",0,0.04438540903245423,3
