,cosine,dates,format_change,sentiment_d,date_delta
ARL,0.9858560285034789,"['2019-04-01', '2018-04-02']",0,-0.00017105623486940558,3
AWR,0.9956692943732605,"['2019-02-25', '2018-02-26']",0,-0.21747483727417835,3
AMT,0.9919533220839988,"['2019-02-27', '2018-02-28']",0,0.04711395156401112,3
AVD,0.988723647523031,"['2019-03-12', '2018-03-14']",0,0.03433197918751179,4
AWK,0.9878979248054817,"['2019-02-19', '2018-02-20']",0,0.01051273666684661,3
COLD,0.9276276702964883,"['2019-02-26', '2018-03-29']",0,-0.03401094718131383,25
APU,0.9965577634593447,"['2018-11-20', '2017-11-21']",0,0.027080734456219027,3
AMP,0.07910931671201088,"['2019-02-27', '2018-02-23']",1,-0.0035968815819156295,0
ABC,0.9869842207264212,"['2018-11-20', '2017-11-21']",0,0.09541024692592709,3
AMN,0.9888560823086734,"['2019-02-21', '2018-02-16']",0,0.07163905411087952,-1
AMRX,0.5737590169497808,"['2019-03-01', '2018-03-09']",0,-0.07027968898474961,8
AP,0.9696178905213558,"['2019-03-18', '2018-03-16']",0,-0.02442252378555464,2
APH,0.9901579728943891,"['2019-02-13', '2018-02-21']",0,-0.0891093796513649,8
AXR,0.9424909340739384,"['2019-07-26', '2018-07-20']",0,-0.02954277910114655,-2
AME,0.9905450367605918,"['2019-02-21', '2018-02-22']",0,0.0454879302475364,3
APC,0.9810144256166169,"['2019-02-14', '2018-02-15']",0,-0.030953424466885374,3
ANDX,0.9398821747333266,"['2019-02-28', '2018-02-21']",0,-0.09407467487078441,-3
AXE,0.9876088589509344,"['2019-02-21', '2018-02-22']",0,0.06242039015149832,3
NLY,0.9928110415451964,"['2019-02-15', '2018-02-16']",0,-0.045747263211232354,3
AM,0.9743996555322249,"['2019-02-13', '2018-02-13']",0,-0.04363405260062712,2
AR,0.9965262932031395,"['2019-02-13', '2018-02-13']",0,0.09830946506713345,2
ANTM,0.9936806551984328,"['2019-02-20', '2018-02-21']",0,-0.03940935327239211,3
ANH,0.9928223904826121,"['2019-02-28', '2018-02-28']",0,-0.017743418266430208,2
AON,0.992380118799694,"['2019-02-19', '2018-02-20']",0,0.06154120246837995,3
APA,0.9863667421711387,"['2019-03-01', '2018-02-23']",0,-0.08194027692784686,-2
AIV,0.9939692378763854,"['2019-02-20', '2018-03-01']",0,-0.052461932441660905,9
ARI,0.6608747137138811,"['2019-02-13', '2018-02-14']",0,-0.044077301650287656,3
APO,0.98052858284081,"['2019-03-01', '2018-02-12']",0,-0.03114793461344852,-11
AIY,0.9904820766147399,"['2019-05-16', '2018-05-18']",0,0.05502464092122716,4
AIT,0.9815889263065775,"['2019-08-16', '2018-08-17']",0,0.13283131529982187,3
ATR,0.9742828673269618,"['2019-02-21', '2018-02-26']",0,0.30771548178759894,5
APTV,0.9956801502710453,"['2019-02-04', '2018-02-05']",0,0.04291969161750277,3
WTR,0.9859923164083724,"['2019-02-26', '2018-02-28']",0,-0.021922906011175778,4
ARMK,0.9869633440536467,"['2018-11-21', '2017-11-22']",0,0.11560045312472347,3
ABR,0.9947832280127242,"['2019-02-15', '2018-02-23']",0,-0.00875321929243794,8
ARC,0.9857060925811553,"['2019-03-06', '2018-03-05']",0,0.03220331325061723,1
ARCH,0.9942897412974907,"['2019-02-14', '2018-02-23']",0,-0.1315702596829209,9
ADM,0.9882452078829251,"['2019-02-19', '2018-02-16']",0,0.06113335343223121,1
AROC,0.9750072992545952,"['2019-02-20', '2018-02-22']",0,0.053046763875749456,4
ARNC,0.9877792066198836,"['2019-02-21', '2018-02-26']",0,-0.06180604431735501,5
AFC,0.9570879524628937,"['2010-02-26', '2009-03-02']",0,0.22642704427909024,4
ARES,0.9587738841033949,"['2019-02-26', '2018-03-01']",0,-0.042671798922072936,5
AGX,0.9790474650510593,"['2019-04-10', '2018-04-11']",0,0.060511606570230574,3
ARGO,0.9897876169005152,"['2019-02-26', '2018-02-27']",0,-0.04274485061256177,3
ANET,0.9698263812448668,"['2019-02-15', '2018-02-20']",0,0.04820854769699555,5
AI,0.9830381908287025,"['2019-02-19', '2018-02-16']",0,-0.057655692960854536,1
AIC,0.9400675707339098,"['2006-03-27', '2005-03-31']",0,-0.2672286768048848,6
AIW,0.9830381908287025,"['2019-02-19', '2018-02-16']",0,-0.057655692960854536,1
AHH,0.98538117177301,"['2019-02-28', '2018-02-23']",0,0.09679413393948441,-1
ARR,0.06213862613870942,"['2019-02-14', '2018-02-14']",1,-0.07753564544585294,2
AFI,0.9798038724123168,"['2019-03-05', '2018-03-06']",0,0.05332038979014871,3
ARW,0.07629750654208677,"['2019-02-07', '2018-02-06']",1,0.40081519666511767,1
AJG,0.9944293676814372,"['2019-02-08', '2018-02-12']",0,0.036389169134014944,4
APAM,0.06302278829456186,"['2019-02-20', '2018-02-21']",1,1.2908231685015852,3
ABG,0.9930701188887109,"['2019-02-28', '2018-02-27']",0,-0.03299106092159348,1
ASGN,0.9583947442628458,"['2019-03-01', '2018-03-01']",0,-0.0813608324388138,2
AHT,0.9834039421868858,"['2019-03-01', '2018-03-14']",0,-0.029338852772469556,11
ASH,0.9899697157521605,"['2018-11-19', '2017-11-20']",0,0.24263805371416447,3
ASPN,0.9904286384033562,"['2019-03-08', '2018-03-01']",0,0.011887188006380094,-3
ASB,1.0000000000000027,"['2019-02-19', '2018-02-06']",0,0.0,-7
AC,0.9699388666579818,"['2019-03-08', '2018-03-09']",0,-0.04776022440184906,3
AIZ,1.0000000000000027,"['2019-02-22', '2018-02-14']",0,0.0,-4
AGO,0.9973222498169049,"['2019-03-01', '2018-02-23']",0,-0.007194557396354597,-2
HOME,0.993754562503463,"['2019-03-27', '2018-03-23']",0,-0.07632583521285545,0
T,0.9173549550691671,"['2019-02-20', '2018-02-20']",0,0.03576356760154222,2
ATH,0.9931930636329723,"['2019-02-27', '2018-02-26']",0,-0.01232858165557395,1
