,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
AES,https://www.sec.gov//ix?doc=/Archives/edgar/data/874761/000087476119000012/a2018form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000087476118000014/a2017form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000087476117000003/a2016form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000087476116000077/a2015form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000087476115000009/a2014form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000087476114000011/a2013form10-k.htm,https://www.sec.gov//Archives/edgar/data/874761/000119312513077580/d472985d10k.htm,https://www.sec.gov//Archives/edgar/data/874761/000119312512078654/d290041d10k.htm,https://www.sec.gov//Archives/edgar/data/874761/000119312511047720/d10k.htm,https://www.sec.gov//Archives/edgar/data/874761/000119312510041006/d10k.htm,,,,,,,,
AET,https://www.sec.gov//Archives/edgar/data/1122304/000112230418000027/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230417000014/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230416000201/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230415000038/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230414000037/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230413000037/form10-k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230412000045/form10k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230411000032/form10k.htm,https://www.sec.gov//Archives/edgar/data/1122304/000112230410000024/form10k.htm,,,,,,,,,
AMG,https://www.sec.gov//Archives/edgar/data/1004434/000100443419000008/amg_10-kx12312018.htm,https://www.sec.gov//Archives/edgar/data/1004434/000100443418000004/amg_10-kx12312017.htm,https://www.sec.gov//Archives/edgar/data/1004434/000100443417000004/amg_10-kx12312016.htm,https://www.sec.gov//Archives/edgar/data/1004434/000100443416000035/amg_10-kx12312015.htm,https://www.sec.gov//Archives/edgar/data/1004434/000100443415000003/amg_10-kx12312014.htm,https://www.sec.gov//Archives/edgar/data/1004434/000100443414000006/amg_10-kx12312013.htm,https://www.sec.gov//Archives/edgar/data/1004434/000104746913001515/a2212939z10-k.htm,https://www.sec.gov//Archives/edgar/data/1004434/000104746912001372/a2207296z10-k.htm,https://www.sec.gov//Archives/edgar/data/1004434/000104746911001624/a2202148z10-k.htm,,,,,,,,,
AFL,https://www.sec.gov//ix?doc=/Archives/edgar/data/4977/000000497719000049/afl12311810k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497718000054/afl12311710k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497717000064/afl12311610k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497716000259/afl12311510k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497715000071/afl12311410k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497714000052/afl12311310k.htm,https://www.sec.gov//Archives/edgar/data/4977/000000497713000030/afl12311210k.htm,https://www.sec.gov//Archives/edgar/data/4977/000119312512081967/d270225d10k.htm,https://www.sec.gov//Archives/edgar/data/4977/000119312511047639/d10k.htm,https://www.sec.gov//Archives/edgar/data/4977/000119312510043173/d10k.htm,,,,,,,,
A,https://www.sec.gov//Archives/edgar/data/1090872/000109087218000019/a-10312018x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087217000018/a-10312017x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087216000082/a-10312016x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087215000051/a-10312015x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087214000045/a-10312014x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087213000029/a-10312013x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000109087212000018/a-10312012x10k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000104746911010124/a2206674z10-k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000104746910010499/a2201423z10-k.htm,https://www.sec.gov//Archives/edgar/data/1090872/000104746909010861/a2195875z10-k.htm,,,,,,,,
APD,https://www.sec.gov//ix?doc=/Archives/edgar/data/2969/000000296918000044/apd-10xkx30sep2018.htm,https://www.sec.gov//Archives/edgar/data/2969/000000296917000039/apd-10xkx30sep2017.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312516773346/d271291d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312515386399/d69855d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312514423115/d805038d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312513453925/d595257d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312512476878/d409668d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312511319887/d221596d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000119312510266784/d10k.htm,https://www.sec.gov//Archives/edgar/data/2969/000095012309066095/y79730e10vk.htm,,,,,,,,
AKAM,https://www.sec.gov//Archives/edgar/data/1086222/000108622219000066/akam10k123118.htm,https://www.sec.gov//Archives/edgar/data/1086222/000108622218000052/akam10k123117.htm,https://www.sec.gov//Archives/edgar/data/1086222/000108622217000080/akam10k123116.htm,https://www.sec.gov//Archives/edgar/data/1086222/000108622216000245/akam10k123115.htm,https://www.sec.gov//Archives/edgar/data/1086222/000108622215000066/akam10k123114.htm,https://www.sec.gov//Archives/edgar/data/1086222/000154256714000009/akam10k123113.htm,https://www.sec.gov//Archives/edgar/data/1086222/000126643213000021/akam10k123112.htm,https://www.sec.gov//Archives/edgar/data/1086222/000126643212000010/akam10k123111.htm,https://www.sec.gov//Archives/edgar/data/1086222/000119312511051569/d10k.htm,https://www.sec.gov//Archives/edgar/data/1086222/000119312510044561/d10k.htm,,,,,,,,
ALK,https://www.sec.gov//Archives/edgar/data/766421/000076642119000008/alk10-k123118.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642118000015/alk10-k123117.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642117000016/alk10-k123116.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642116000065/alk10-k123115.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642115000009/alk10-k123114.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642114000010/alk10-k123113.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642113000010/alk10-k123112.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642112000018/alk10-k123111.htm,https://www.sec.gov//Archives/edgar/data/766421/000076642111000020/alk2010123110k.htm,,,,,,,,,
ALB,https://www.sec.gov//Archives/edgar/data/915913/000091591319000021/a1231201810-kdocument.htm,https://www.sec.gov//Archives/edgar/data/915913/000091591318000005/a1231201710-kdocument.htm,https://www.sec.gov//Archives/edgar/data/915913/000091591317000010/a1231201610-kdocument.htm,https://www.sec.gov//Archives/edgar/data/915913/000091591316000041/a1231201510-kdocument.htm,https://www.sec.gov//Archives/edgar/data/915913/000091591315000009/a1231201410-kdocument.htm,https://www.sec.gov//Archives/edgar/data/915913/000091591314000008/a1231201310k.htm,https://www.sec.gov//Archives/edgar/data/915913/000119312513062728/d437520d10k.htm,https://www.sec.gov//Archives/edgar/data/915913/000119312512071957/d260152d10k.htm,https://www.sec.gov//Archives/edgar/data/915913/000119312511047404/d10k.htm,,,,,,,,,
ARE,https://www.sec.gov//Archives/edgar/data/1035443/000103544319000041/a4q1810k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000103544318000028/a4q1710k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000103544317000022/a4q1610k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000103544316000136/a4q1510k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000103544315000018/a4q14-10xk.htm,https://www.sec.gov//Archives/edgar/data/1035443/000103544314000013/are-20131231x10k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000110465913014040/a12-28254_110k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000110465912011131/a11-32209_110k.htm,https://www.sec.gov//Archives/edgar/data/1035443/000110465911011479/a10-23320_110k.htm,,,,,,,,,
