"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CENTA","Central Garden & Pet Company","25.11","$1.46B","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/centa",
"CVCY","Central Valley Community Bancorp","20.71","$282.85M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
"CTRC","Centric Brands Inc.","3.18","$186.17M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctrc",
"CENX","Century Aluminum Company","6.9","$612.84M","1996","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/cenx",
"CNBKA","Century Bancorp, Inc.","89.68","$499.33M","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/cnbka",
"CNTY","Century Casinos, Inc.","9.36","$275.55M","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/cnty",
"CRNT","Ceragon Networks Ltd.","2.68","$214.78M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CERC","Cerecor Inc.","5.4","$231.05M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cerc",
"CERN","Cerner Corporation","75.68","$24.63B","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CERS","Cerus Corporation","5.43","$748.45M","1997","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/cers",
"KOOL","Cesca Therapeutics Inc.","3.4701","$8.21M","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",
"CEVA","CEVA, Inc.","25.14","$552.43M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CFFA","CF Finance Acquisition Corp.","10.02","$359.95M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffa",
"CFFAU","CF Finance Acquisition Corp.","10.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/cffau",
"CFFAW","CF Finance Acquisition Corp.","0.6","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/cffaw",
"CSBR","Champions Oncology, Inc.","8.19","$95.13M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CHNG","Change Healthcare Inc.","14.65","$1.83B","2019","Technology","EDP Services","https://www.nasdaq.com/symbol/chng",
"CHNGU","Change Healthcare Inc.","57.25","n/a","2019","Technology","EDP Services","https://www.nasdaq.com/symbol/chngu",
"CYOU","Changyou.com Limited","9.31","$495.76M","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"BURG","Chanticleer Holdings, Inc.","0.82","$8.22M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/burg",
"CTHR","Charles & Colvard Ltd.","1.63","$46.71M","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"GTLS","Chart Industries, Inc.","72.06","$2.58B","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","407.21","$90.97B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/chtr",
"CTAC","ChaSerg Technology Acquisition Corp.","10.03","$282.24M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctac",
"CTACU","ChaSerg Technology Acquisition Corp.","10.6","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacu",
"CTACW","ChaSerg Technology Acquisition Corp.","0.75","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacw",
"CHKP","Check Point Software Technologies Ltd.","119.74","$18.23B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","2.1","$17.3M","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.0399","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CHEKZ","Check-Cap Ltd.","0.23","n/a","n/a","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekz",
"CKPT","Checkpoint Therapeutics, Inc.","3.02","$109.22M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CEMI","Chembio Diagnostics, Inc.","5.88","$100.94M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHFC","Chemical Financial Corporation","41.19","$2.95B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",
"CCXI","ChemoCentryx, Inc.","8.86","$514.3M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ccxi",
"CHMG","Chemung Financial Corp","48.88","$236.45M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"CHFS","CHF Solutions, Inc.","2.94","$6.67M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","7.23","$229.68M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","7.39","$88.59M","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"CSSEP","Chicken Soup for the Soul Entertainment, Inc.","24.9997","$22.96M","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/cssep",
"PLCE","Children&#39;s Place, Inc. (The)","93.31","$1.48B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","3.76","$192.03M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","3.9","$27.05M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CAAS","China Automotive Systems, Inc.","2.31","$74.7M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","94.4","$3.68B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","0.88","$5.29M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CCRC","China Customer Relations Centers, Inc.","9.79","$179.45M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
