,Ticker,Year,Jaccard,Cosine
0,0000014693,2019.0,0.8946536739531209,0.9444033649911283
1,0000014693,2018.0,0.8762639701969133,0.9343140004525454
2,0000014693,2017.0,0.8730115194733955,0.9322311430205632
3,0000014693,2016.0,0.9035633484162896,0.9493582521593165
4,0000014693,2015.0,0.8797720797720797,0.9361283181622441
5,0000014693,2014.0,0.7959069245864873,0.8864689203534498
6,0000014693,2013.0,0.8330918574326283,0.9089526986924221
7,0000014693,2012.0,0.5283076923076923,0.7197417395065826
8,0001067983,2019.0,0.9074521872939108,0.9514819944573962
9,0001067983,2018.0,0.8989373237909347,0.9468062489096052
10,0001067983,2017.0,0.8953014374597725,0.9447597577661002
11,0001067983,2016.0,0.8922976501305483,0.9432222581578005
12,0001067983,2015.0,0.9048263419034731,0.9501048073769599
13,0001067983,2014.0,0.9205435283279595,0.9586283051883272
14,0001067983,2013.0,0.8944227679596052,0.9443138006283954
15,0001067983,2012.0,0.8763527515542252,0.9341067396558784
16,0001067983,2011.0,0.8776400367309458,0.9348542462031854
17,A,2019.0,0.9242384105960265,0.9606348899534207
18,A,2018.0,0.9190964013659049,0.9578446274552048
19,A,2017.0,0.9032761310452418,0.949180327868851
20,A,2016.0,0.8466650258429732,0.9172394128259428
21,A,2015.0,0.9122719320169957,0.954133627429976
22,A,2014.0,0.8989241931448586,0.9467776234900211
23,A,2013.0,0.8605289421157685,0.9251321216106834
24,A,2012.0,0.8823234852278418,0.9377175318782602
25,A,2011.0,0.8504335260115607,0.9191722684325409
26,AAL,2019.0,0.8932087856601868,0.9435926887404122
27,AAL,2018.0,0.8771132980065607,0.9345597550212071
28,AAL,2017.0,0.8290742526518804,0.906875352604091
29,AAL,2016.0,0.8935352078827205,0.9438348074823852
30,AAL,2015.0,0.8725671918443003,0.9320402630478335
31,AAL,2014.0,0.3219448094612352,0.5216202841236283
32,AAL,2013.0,0.3320419325432999,0.5294938982799504
33,AAL,2012.0,0.7349137931034483,0.8475692787008628
34,AAL,2011.0,0.7281307550644567,0.8472542025530098
35,AAP,2019.0,0.8818897637795275,0.9372496604447272
36,AAP,2018.0,0.8118841445207524,0.897303441866231
37,AAP,2017.0,0.8888888888888888,0.941176574801563
38,AAP,2016.0,0.9164152082076041,0.9563934640363573
39,AAP,2015.0,0.8484848484848485,0.9180523336848578
40,AAP,2014.0,0.9104339796860572,0.9531326010689007
41,AAP,2013.0,0.9049716803020768,0.9502961560448584
42,AAP,2012.0,0.8960127591706539,0.9451556339709537
43,AAPL,2019.0,0.8765070055392636,0.9342531908501975
44,AAPL,2018.0,0.6171428571428571,0.7674878477304468
45,AAPL,2009.0,0.63025,0.7773204061846463
46,AAPL,2017.0,0.9285480170435922,0.9629664506095481
47,AAPL,2016.0,0.91776,0.957191594397633
48,AAPL,2015.0,0.913858868404323,0.9550199622590184
49,AAPL,2014.0,0.904485317844466,0.9499181962216219
50,AAPL,2013.0,0.9070450097847358,0.9512610756058127
51,AAPL,2012.0,0.8359255870692284,0.9109371349240228
52,AAPL,2011.0,0.6504065040650406,0.799839101807887
53,ABBV,2019.0,0.8924230669769847,0.9431573895078498
54,ABBV,2018.0,0.9018643190056965,0.9484196895174741
55,ABBV,2017.0,0.8896870189840944,0.9416295422513987
56,ABBV,2016.0,0.8634496919917864,0.9267780316260583
57,ABBV,2015.0,0.8959893048128342,0.9452161821404064
58,ABC,2019.0,0.8877491207502931,0.9405880727035131
59,ABC,2018.0,0.9155099577549789,0.9558996372402431
60,ABC,2017.0,0.9111178985949908,0.9535435425657601
61,ABC,2016.0,0.8841746670795912,0.9386751916584564
62,ABC,2015.0,0.9240956072351422,0.9605554986357647
63,ABC,2014.0,0.8644121365360303,0.9272960753451449
64,ABC,2013.0,0.890748031496063,0.9423510883835168
65,ABC,2012.0,0.8686998394863563,0.9300669424364608
66,ABC,2011.0,0.876720901126408,0.934317722047431
67,ABT,2019.0,0.9224669603524229,0.9596745067236034
68,ABT,2018.0,0.8484848484848485,0.9180734436899789
69,ABT,2017.0,0.8449830890642616,0.916094849162474
70,ABT,2016.0,0.9092257490358944,0.9524553548473282
71,ABT,2015.0,0.8853893263342082,0.9392249008006581
72,ABT,2014.0,0.8482642777155656,0.9180132361886273
73,ABT,2013.0,0.8553168343758499,0.9221549618410003
74,ABT,2012.0,0.8531603643389456,0.9212846705350821
75,ABT,2011.0,0.8657698056801196,0.9287840812735345
76,ACN,2019.0,0.9298194525334886,0.9636744458929841
77,ACN,2018.0,0.9600352630032325,0.9796137620331926
78,ACN,2017.0,0.9442488262910798,0.9713325609718233
79,ACN,2016.0,0.9203693017888055,0.9585675811895537
80,ACN,2015.0,0.9279050042408821,0.9627230163656939
81,ACN,2014.0,0.9357643758765778,0.9668227475816096
82,ACN,2013.0,0.926318727323472,0.9617570412448349
83,ACN,2012.0,0.8904517176088721,0.9420876795418265
84,ADBE,2019.0,0.8939648954075499,0.9441219631132985
85,ADBE,2018.0,0.8656752218757496,0.9280051250124187
86,ADBE,2017.0,0.9075794621026895,0.9515510094462516
87,ADBE,2016.0,0.9034381858083395,0.9492697924673335
88,ADBE,2015.0,0.9350162459385154,0.9664499690608573
89,ADBE,2014.0,0.7538589904046725,0.8629159830734944
90,ADBE,2013.0,0.8763696506098821,0.9341337396745516
91,ADBE,2012.0,0.8687242798353909,0.9297772182579331
92,ADBE,2011.0,0.8490449784349969,0.9184829884349668
93,ADI,2019.0,0.9128233970753655,0.9544416723331532
94,ADI,2018.0,0.9101187111362352,0.9529448251079031
